Freq (MHz),re(S11),im(S11),re(Z),im(Z)
2382.983,0.12611,-1.00362,-0.654,-56.672
2388.789,0.13031,-1.00593,-0.817,-56.888
2394.595,0.12763,-1.01104,-1.079,-56.697
2400.400,0.12152,-1.01197,-1.082,-56.351
2406.206,0.12767,-1.01252,-1.162,-56.687
2412.012,0.12333,-1.01621,-1.330,-56.417
2417.818,0.12262,-1.02083,-1.576,-56.340
2423.624,0.12579,-1.01888,-1.497,-56.530
2429.429,0.12741,-1.02192,-1.677,-56.593
2435.235,0.13491,-1.02009,-1.643,-57.021
2441.041,0.13052,-1.02165,-1.689,-56.766
2446.847,0.12975,-1.02440,-1.833,-56.699
2452.653,0.12983,-1.02203,-1.704,-56.725
2458.458,0.12356,-1.02107,-1.597,-56.390
2464.264,0.12906,-1.02316,-1.759,-56.673
2470.070,0.13409,-1.02011,-1.637,-56.976
2475.876,0.13093,-1.02057,-1.634,-56.798
2481.682,0.12749,-1.01832,-1.480,-56.628
2487.487,0.12584,-1.01740,-1.415,-56.545
2493.293,0.12966,-1.01531,-1.333,-56.774
2499.099,0.12812,-1.01418,-1.257,-56.698
2504.905,0.12277,-1.01005,-0.985,-56.436
2510.711,0.12433,-1.00908,-0.944,-56.530
2516.517,0.12062,-1.00674,-0.785,-56.342
2522.322,0.11721,-1.00405,-0.611,-56.172
2528.128,0.11566,-1.00607,-0.712,-56.072
2533.934,0.11935,-1.00385,-0.615,-56.293
2539.740,0.11488,-1.00239,-0.503,-56.055
2545.546,0.11367,-0.99730,-0.212,-56.022
2551.351,0.10457,-0.99544,-0.051,-55.527
2557.157,0.10939,-0.99711,-0.173,-55.785
2562.963,0.09714,-0.99428,0.055,-55.123
2568.769,0.09800,-0.99363,0.086,-55.174
2574.575,0.09622,-0.99197,0.187,-55.084
2580.380,0.08070,-0.99240,0.236,-54.230
2586.186,0.08185,-0.99384,0.152,-54.287
2591.992,0.08053,-0.99037,0.347,-54.230
2597.798,0.08031,-0.99215,0.251,-54.210
2603.604,0.07218,-0.99433,0.165,-53.761
2609.409,0.09149,-0.99440,0.077,-54.812
2615.215,0.07007,-1.00304,-0.294,-53.614
2621.021,0.05387,-1.00144,-0.152,-52.762
2626.827,0.05808,-1.00545,-0.377,-52.970
2632.633,0.05899,-1.00730,-0.477,-53.011
2638.438,0.05819,-1.01051,-0.643,-52.958
2644.244,0.05538,-1.01461,-0.845,-52.796
2650.050,0.05909,-1.01673,-0.970,-52.981
2655.856,0.05439,-1.02037,-1.140,-52.723
2661.662,0.06015,-1.02336,-1.318,-53.008
2667.467,0.05505,-1.02498,-1.379,-52.738
2673.273,0.05939,-1.03056,-1.684,-52.936
2679.079,0.06119,-1.03044,-1.687,-53.029
2684.885,0.05941,-1.03176,-1.746,-52.931
2690.691,0.06037,-1.03395,-1.862,-52.970
2696.496,0.06327,-1.03706,-2.035,-53.102
2702.302,0.06649,-1.03870,-2.136,-53.258
2708.108,0.06268,-1.03640,-1.999,-53.075
2713.914,0.06844,-1.03657,-2.038,-53.369
2719.720,0.05902,-1.03881,-2.102,-52.877
2725.526,0.06917,-1.03892,-2.162,-53.393
2731.331,0.07249,-1.04001,-2.237,-53.556
2737.137,0.07102,-1.03766,-2.108,-53.495
2742.943,0.07666,-1.03661,-2.087,-53.791
2748.749,0.07429,-1.03940,-2.217,-53.652
2754.555,0.07456,-1.03554,-2.020,-53.689
2760.360,0.07565,-1.03237,-1.862,-53.764
2766.166,0.07761,-1.03155,-1.831,-53.869
2771.972,0.08520,-1.03115,-1.856,-54.267
2777.778,0.08349,-1.02656,-1.605,-54.206
2783.584,0.08042,-1.02291,-1.395,-54.066
2789.389,0.07409,-1.01791,-1.099,-53.759
2795.195,0.07755,-1.01613,-1.023,-53.951
2801.001,0.07432,-1.01562,-0.980,-53.783
2806.807,0.07316,-1.01062,-0.710,-53.746
2812.613,0.07204,-1.00990,-0.667,-53.689
2818.418,0.06034,-1.00521,-0.372,-53.090
2824.224,0.05388,-0.99907,-0.028,-52.769
2830.030,0.05240,-1.00340,-0.251,-52.678
2835.836,0.06235,-0.99908,-0.054,-53.217
2841.642,0.05155,-1.00006,-0.073,-52.644
2847.447,0.04689,-0.99606,0.149,-52.409
2853.253,0.04201,-0.99808,0.054,-52.149
2859.059,0.04613,-0.99629,0.139,-52.368
2864.865,0.01940,-0.99973,0.004,-50.979
2870.671,0.02700,-0.99718,0.126,-51.372
2876.476,0.02499,-1.00152,-0.094,-51.263
2882.282,0.02429,-1.00520,-0.281,-51.222
2888.088,0.03061,-1.00063,-0.057,-51.553
2893.894,0.03601,-1.00759,-0.425,-51.817
2899.700,0.02942,-1.01871,-0.976,-51.455
2905.506,0.01376,-1.01358,-0.688,-50.679
2911.311,0.01834,-1.02224,-1.128,-50.892
2917.117,0.01347,-1.02544,-1.277,-50.645
2922.923,0.00753,-1.02495,-1.243,-50.353
2928.729,0.01652,-1.02523,-1.273,-50.796
2934.535,0.01743,-1.03159,-1.588,-50.827
2940.340,0.01469,-1.02998,-1.503,-50.696
2946.146,0.01800,-1.03464,-1.740,-50.847
2951.952,0.01177,-1.03118,-1.556,-50.550
2957.758,0.01996,-1.03315,-1.671,-50.947
2963.564,0.01908,-1.03535,-1.778,-50.898
2969.369,0.00912,-1.03688,-1.828,-50.408
2975.175,0.01727,-1.03746,-1.876,-50.804
2980.981,0.02268,-1.03698,-1.868,-51.071
2986.787,0.02101,-1.03953,-1.988,-50.981
2992.593,0.02018,-1.03897,-1.958,-50.942
2998.398,0.01862,-1.04034,-2.020,-50.862
3004.204,0.02016,-1.04003,-2.010,-50.938
3010.010,0.02291,-1.03665,-1.852,-51.083
3015.816,0.01715,-1.03376,-1.694,-50.808
3021.622,0.02745,-1.03906,-1.985,-51.299
3027.427,0.02858,-1.03470,-1.773,-51.369
3033.233,0.02777,-1.03631,-1.850,-51.324
3039.039,0.02574,-1.03219,-1.640,-51.236
3044.845,0.02801,-1.03294,-1.684,-51.346
3050.651,0.03253,-1.02463,-1.282,-51.596
3056.456,0.03064,-1.02299,-1.194,-51.506
3062.262,0.02486,-1.02113,-1.086,-51.220
3068.068,0.03157,-1.01633,-0.861,-51.570
3073.874,0.03095,-1.00792,-0.431,-51.557
3079.680,0.02760,-1.00650,-0.352,-51.389
3085.485,0.02293,-1.00155,-0.093,-51.158
3091.291,0.01871,-1.00167,-0.094,-50.943
3097.097,0.01652,-0.99169,0.417,-50.838
3102.903,0.00595,-0.99677,0.162,-50.299
3108.709,0.00160,-0.98939,0.534,-50.078
3114.515,0.00082,-0.98932,0.537,-50.039
3120.320,-0.00144,-0.98866,0.570,-49.924
3126.126,-0.01306,-0.98802,0.590,-49.340
3131.932,-0.01461,-0.99014,0.483,-49.266
3137.738,-0.00621,-1.00440,-0.219,-49.691
3143.544,-0.04574,-0.99372,0.251,-47.751
3149.349,-0.03144,-0.98861,0.530,-48.433
3155.155,-0.04018,-0.99169,0.362,-48.014
3160.961,-0.04186,-0.99165,0.359,-47.932
3166.767,-0.04441,-0.99429,0.226,-47.816
3172.573,-0.04518,-0.99687,0.101,-47.785
3178.378,-0.04202,-0.99752,0.077,-47.938
3184.184,-0.04618,-1.00548,-0.312,-47.755
3189.990,-0.05336,-1.00673,-0.385,-47.419
3195.796,-0.05447,-1.00844,-0.468,-47.370
3201.602,-0.05203,-1.01349,-0.700,-47.494
3207.407,-0.05938,-1.01712,-0.882,-47.158
3213.213,-0.06131,-1.00795,-0.460,-47.049
3219.019,-0.06299,-1.00364,-0.263,-46.959
3224.825,-0.05610,-1.00700,-0.404,-47.290
3230.631,-0.04510,-1.01876,-0.937,-47.827
3236.436,-0.05459,-1.01300,-0.681,-47.374
3242.242,-0.06205,-1.01136,-0.620,-47.023
3248.048,-0.07473,-1.00803,-0.500,-46.428
3253.854,-0.06637,-1.00256,-0.222,-46.799
3259.660,-0.05884,-1.00484,-0.309,-47.157
3265.465,-0.06944,-1.00197,-0.204,-46.654
3271.271,-0.06858,-1.00243,-0.223,-46.695
3277.077,-0.07045,-1.00453,-0.326,-46.615
3282.883,-0.07017,-1.00080,-0.152,-46.617
3288.689,-0.07742,-0.99539,0.075,-46.262
3294.494,-0.07184,-0.99561,0.084,-46.522
3300.300,-0.07627,-0.98876,0.387,-46.290
3306.106,-0.07690,-0.98954,0.348,-46.264
3311.912,-0.07962,-0.98256,0.662,-46.108
3317.718,-0.08075,-0.98312,0.631,-46.058
3323.524,-0.08242,-0.97823,0.852,-45.957
3329.329,-0.08063,-0.97124,1.189,-46.007
3335.135,-0.08639,-0.96836,1.294,-45.721
3340.941,-0.08955,-0.96010,1.664,-45.526
3346.747,-0.08966,-0.95652,1.832,-45.499
3352.553,-0.10106,-0.94431,2.330,-44.881
3358.358,-0.10328,-0.93985,2.524,-44.743
3364.164,-0.11384,-0.93173,2.820,-44.184
3369.970,-0.10232,-0.92609,3.182,-44.679
3375.776,-0.12446,-0.92080,3.234,-43.593
3381.582,-0.12690,-0.91784,3.349,-43.452
