Freq (MHz),re(S11),im(S11),re(Z),im(Z)
5088.488,0.78040,-0.70443,-9.665,-129.385
5094.294,0.77894,-0.70403,-9.403,-129.292
5100.100,0.77297,-0.69980,-8.056,-129.291
5105.906,0.78472,-0.68984,-8.776,-132.097
5111.712,0.78328,-0.70392,-10.049,-129.762
5117.518,0.79942,-0.69104,-11.260,-133.465
5123.323,0.78286,-0.70937,-10.545,-128.893
5129.129,0.77736,-0.69609,-8.316,-130.328
5134.935,0.79459,-0.70424,-11.829,-130.864
5140.741,0.79496,-0.69273,-10.715,-132.727
5146.547,0.78713,-0.71932,-12.172,-127.827
5152.352,0.80486,-0.70144,-13.189,-132.323
5158.158,0.80199,-0.71237,-13.780,-130.309
5163.964,0.82371,-0.67118,-13.392,-139.376
5169.770,0.81032,-0.69838,-13.782,-133.351
5175.576,0.81264,-0.70627,-14.908,-132.280
5181.381,0.81910,-0.68376,-13.838,-136.683
5187.187,0.79880,-0.67008,-8.895,-136.894
5192.993,0.82832,-0.67547,-14.655,-139.061
5198.799,0.82962,-0.66898,-14.248,-140.376
5204.605,0.81226,-0.68811,-13.098,-135.257
5210.410,0.81773,-0.67808,-13.030,-137.538
5216.216,0.81253,-0.67240,-11.527,-137.995
5222.022,0.81510,-0.67081,-11.811,-138.548
5227.828,0.81126,-0.67067,-11.118,-138.162
5233.634,0.80898,-0.66624,-10.234,-138.694
5239.439,0.80869,-0.67215,-10.827,-137.627
5245.245,0.81655,-0.66273,-11.204,-140.152
5251.051,0.82135,-0.65491,-11.233,-142.118
5256.857,0.80897,-0.66110,-9.661,-139.606
5262.663,0.79704,-0.66255,-7.731,-137.985
5268.468,0.80249,-0.65953,-8.330,-139.145
5274.274,0.81364,-0.65624,-9.956,-141.011
5280.080,0.80395,-0.65527,-8.093,-140.070
5285.886,0.81769,-0.65197,-10.221,-142.259
5291.692,0.83698,-0.65084,-13.786,-144.577
5297.497,0.80777,-0.65569,-8.827,-140.440
5303.303,0.80551,-0.65494,-8.334,-140.312
5309.109,0.81916,-0.65788,-11.153,-141.324
5314.915,0.80960,-0.67008,-10.764,-138.086
5320.721,0.82471,-0.65309,-11.664,-142.828
5326.527,0.80552,-0.66392,-9.366,-138.717
5332.332,0.82807,-0.65835,-12.866,-142.197
5338.138,0.81239,-0.66322,-10.507,-139.607
5343.944,0.81083,-0.66139,-10.024,-139.763
5349.750,0.81814,-0.67237,-12.514,-138.589
5355.556,0.82405,-0.66434,-12.746,-140.658
5361.361,0.82595,-0.65458,-12.061,-142.681
5367.167,0.82969,-0.67136,-14.498,-139.946
5372.973,0.81772,-0.67708,-12.925,-137.712
5378.779,0.82032,-0.67331,-13.000,-138.647
5384.585,0.81990,-0.68015,-13.619,-137.393
5390.390,0.83307,-0.68007,-15.957,-138.688
5396.196,0.83063,-0.67419,-14.949,-139.520
5402.002,0.84126,-0.67947,-17.398,-139.556
5407.808,0.83639,-0.67424,-16.012,-140.067
5413.614,0.84329,-0.65971,-15.917,-143.485
5419.419,0.84721,-0.66087,-16.792,-143.638
5425.225,0.85260,-0.66951,-18.636,-142.457
5431.031,0.85126,-0.66282,-17.767,-143.638
5436.837,0.85358,-0.64579,-16.609,-147.277
5442.643,0.85623,-0.66454,-18.899,-143.752
5448.448,0.86114,-0.64630,-18.223,-147.899
5454.254,0.85492,-0.64036,-16.347,-148.538
5460.060,0.86306,-0.64412,-18.421,-148.537
5465.866,0.85848,-0.63097,-16.155,-150.895
5471.672,0.85957,-0.63720,-17.015,-149.666
5477.477,0.85582,-0.63992,-16.491,-148.719
5483.283,0.86052,-0.64233,-17.717,-148.674
5489.089,0.85572,-0.62307,-14.726,-152.326
5494.895,0.85686,-0.62704,-15.397,-151.580
5500.701,0.85585,-0.62123,-14.557,-152.747
5506.507,0.85206,-0.61915,-13.491,-152.789
5512.312,0.85734,-0.61344,-14.035,-154.651
5518.118,0.85256,-0.61102,-12.681,-154.656
5523.924,0.85595,-0.60578,-12.847,-156.241
5529.730,0.86080,-0.60230,-13.575,-157.612
5535.536,0.86009,-0.59964,-13.099,-158.158
5541.341,0.85430,-0.59987,-11.766,-157.417
5547.147,0.84646,-0.60243,-10.275,-155.869
5552.953,0.84576,-0.60126,-9.969,-156.049
5558.759,0.84021,-0.60014,-8.573,-155.597
5564.565,0.86220,-0.60058,-13.707,-158.179
5570.370,0.84056,-0.60991,-9.880,-153.471
5576.176,0.84643,-0.59929,-9.875,-156.582
5581.982,0.84190,-0.58230,-6.574,-159.942
5587.788,0.85373,-0.62368,-14.358,-151.979
5593.594,0.86165,-0.59919,-13.416,-158.444
5599.399,0.83235,-0.60945,-8.039,-152.538
5605.205,0.84235,-0.63543,-13.220,-148.248
5611.011,0.85487,-0.61278,-13.404,-154.523
5616.817,0.84990,-0.60977,-11.938,-154.626
5622.623,0.82870,-0.61472,-7.935,-150.954
5628.428,0.86590,-0.60480,-15.056,-157.595
5634.234,0.80274,-0.62055,-3.476,-146.359
5640.040,0.85095,-0.61635,-12.933,-153.281
5645.846,0.81644,-0.59391,-2.498,-153.694
5651.652,0.86366,-0.62030,-16.198,-153.783
5657.457,0.85693,-0.63253,-15.982,-150.400
5663.263,0.84260,-0.66885,-16.663,-141.664
5669.069,0.87617,-0.60563,-17.595,-158.491
5674.875,0.87382,-0.60920,-17.399,-157.396
5680.681,0.88275,-0.61372,-19.967,-157.202
5686.486,0.88790,-0.61335,-21.165,-157.770
5692.292,0.88370,-0.62356,-21.095,-154.978
5698.098,0.88926,-0.60184,-20.428,-160.716
5703.904,0.89626,-0.61296,-23.159,-158.600
5709.710,0.89671,-0.60917,-22.944,-159.569
5715.516,0.90299,-0.60011,-23.748,-162.393
5721.321,0.89635,-0.58262,-20.403,-166.373
5727.127,0.90037,-0.59059,-22.228,-164.637
5732.933,0.90387,-0.56244,-20.473,-172.750
5738.739,0.90511,-0.57467,-22.031,-169.394
5744.545,0.90527,-0.57035,-21.662,-170.624
5750.350,0.90811,-0.57100,-22.529,-170.710
5756.156,0.89540,-0.57318,-19.187,-168.841
5761.962,0.90087,-0.57418,-20.803,-169.122
5767.768,0.90129,-0.57139,-20.642,-169.939
5773.574,0.89778,-0.54869,-17.187,-176.140
5779.379,0.89563,-0.56760,-18.664,-170.418
5785.185,0.89260,-0.53010,-13.288,-181.206
5790.991,0.88956,-0.55886,-15.968,-172.211
5796.797,0.90466,-0.55986,-20.439,-173.583
5802.603,0.89517,-0.55409,-17.034,-174.239
5808.408,0.89921,-0.54795,-17.530,-176.527
5814.214,0.88917,-0.55559,-15.469,-173.102
5820.020,0.87370,-0.56034,-11.719,-169.833
5825.826,0.89026,-0.56195,-16.525,-171.416
5831.632,0.86952,-0.55400,-9.722,-171.019
5837.437,0.88315,-0.56484,-14.879,-169.776
5843.243,0.88537,-0.55408,-14.194,-173.072
5849.049,0.87369,-0.55640,-11.200,-170.918
5854.855,0.88984,-0.56423,-16.667,-170.724
5860.661,0.86034,-0.56821,-9.208,-165.966
5866.466,0.87912,-0.55326,-12.308,-172.513
5872.272,0.89014,-0.56532,-16.876,-170.454
5878.078,0.88787,-0.56077,-15.712,-171.470
5883.884,0.86400,-0.57482,-11.023,-164.745
5889.690,0.89887,-0.55783,-18.534,-173.561
5895.495,0.86743,-0.57241,-11.599,-165.807
5901.301,0.87315,-0.57311,-13.184,-166.338
5907.107,0.86644,-0.54465,-7.529,-173.188
5912.913,0.88294,-0.57419,-15.912,-167.209
5918.719,0.89631,-0.56189,-18.238,-172.110
5924.525,0.91741,-0.55715,-23.965,-175.624
5930.330,0.87892,-0.57011,-14.355,-167.835
5936.136,0.90549,-0.55546,-20.230,-174.966
5941.942,0.89384,-0.59158,-20.613,-163.767
5947.748,0.90449,-0.55890,-20.292,-173.845
