Freq (MHz),re(S11),im(S11),re(Z),im(Z)
2864.865,0.87045,-0.07109,543.273,-325.555
2870.671,0.86391,-0.09871,431.496,-349.236
2876.476,0.86077,-0.12009,361.830,-355.221
2882.282,0.85765,-0.14109,304.370,-351.227
2888.088,0.84544,-0.17212,238.829,-321.628
2893.894,0.83739,-0.18623,216.029,-304.673
2899.700,0.83646,-0.20148,192.859,-299.200
2905.506,0.82458,-0.22948,160.248,-275.042
2911.311,0.81856,-0.24992,140.232,-262.021
2917.117,0.80697,-0.28146,115.721,-241.634
2922.923,0.79362,-0.30552,101.823,-224.753
2928.729,0.78156,-0.33379,87.270,-209.759
2934.535,0.77433,-0.34839,80.973,-202.194
2940.340,0.75867,-0.36739,74.900,-190.145
2946.146,0.74737,-0.38824,67.750,-180.953
2951.952,0.72784,-0.41757,59.549,-168.081
2957.758,0.71427,-0.43502,55.480,-160.594
2963.564,0.69436,-0.46967,47.336,-149.576
2969.369,0.67485,-0.48896,44.301,-141.807
2975.175,0.65612,-0.51360,40.012,-134.436
2980.981,0.63651,-0.52896,38.243,-128.412
2986.787,0.61728,-0.54487,36.323,-122.896
2992.593,0.59147,-0.56613,33.818,-116.153
2998.398,0.56698,-0.58760,31.275,-110.290
3004.204,0.54024,-0.60514,29.602,-104.774
3010.010,0.51337,-0.62029,28.291,-99.794
3015.816,0.48427,-0.63976,26.374,-94.741
3021.622,0.45737,-0.65137,25.498,-90.628
3027.427,0.42778,-0.66461,24.398,-86.410
3033.233,0.39756,-0.67806,23.227,-82.419
3039.039,0.36269,-0.68900,22.348,-78.217
3044.845,0.33362,-0.70157,21.174,-74.933
3050.651,0.29972,-0.70512,20.908,-71.399
3056.456,0.26315,-0.71320,20.069,-67.820
3062.262,0.22478,-0.71906,19.339,-64.316
3068.068,0.19128,-0.72082,18.909,-61.419
3073.874,0.15559,-0.71800,18.732,-58.442
3079.680,0.12050,-0.71752,18.265,-55.692
3085.485,0.08188,-0.71434,17.847,-52.788
3091.291,0.04433,-0.71193,17.293,-50.131
3097.097,0.00358,-0.70821,16.676,-47.391
3102.903,-0.03975,-0.69381,16.546,-44.405
3108.709,-0.07932,-0.68229,16.197,-41.847
3114.515,-0.11847,-0.66604,16.002,-39.304
3120.320,-0.15628,-0.64936,15.748,-36.924
3126.126,-0.19213,-0.63331,15.420,-34.754
3131.932,-0.22587,-0.60978,15.394,-32.528
3137.738,-0.24264,-0.59482,15.472,-31.340
3143.544,-0.29387,-0.55972,15.104,-28.164
3149.349,-0.31736,-0.53007,15.332,-26.288
3155.155,-0.34275,-0.49882,15.443,-24.311
